avg_temp,year,city
6.33,1743,Berlin
10.36,1744,Berlin
1.43,1745,Berlin
,1746,Berlin
,1747,Berlin
,1748,Berlin
,1749,Berlin
9.83,1750,Berlin
9.75,1751,Berlin
4.84,1752,Berlin
8.72,1753,Berlin
8.49,1754,Berlin
8.26,1755,Berlin
9.62,1756,Berlin
9.15,1757,Berlin
8.25,1758,Berlin
9.04,1759,Berlin
8.99,1760,Berlin
9.47,1761,Berlin
8.53,1762,Berlin
8.62,1763,Berlin
8.91,1764,Berlin
8.54,1765,Berlin
8.87,1766,Berlin
8.14,1767,Berlin
8.03,1768,Berlin
8.46,1769,Berlin
8.50,1770,Berlin
7.45,1771,Berlin
9.13,1772,Berlin
9.52,1773,Berlin
8.46,1774,Berlin
10.10,1775,Berlin
8.36,1776,Berlin
8.29,1777,Berlin
9.43,1778,Berlin
10.47,1779,Berlin
8.78,1780,Berlin
9.98,1781,Berlin
8.61,1782,Berlin
9.76,1783,Berlin
7.67,1784,Berlin
7.42,1785,Berlin
7.68,1786,Berlin
9.27,1787,Berlin
8.33,1788,Berlin
8.99,1789,Berlin
9.09,1790,Berlin
9.55,1791,Berlin
8.90,1792,Berlin
9.18,1793,Berlin
10.02,1794,Berlin
8.87,1795,Berlin
9.01,1796,Berlin
10.07,1797,Berlin
9.33,1798,Berlin
6.72,1799,Berlin
8.60,1800,Berlin
9.61,1801,Berlin
9.08,1802,Berlin
8.02,1803,Berlin
8.36,1804,Berlin
7.20,1805,Berlin
9.67,1806,Berlin
9.42,1807,Berlin
8.15,1808,Berlin
8.66,1809,Berlin
8.46,1810,Berlin
9.93,1811,Berlin
7.35,1812,Berlin
8.66,1813,Berlin
7.46,1814,Berlin
8.38,1815,Berlin
7.75,1816,Berlin
8.92,1817,Berlin
9.00,1818,Berlin
9.43,1819,Berlin
7.86,1820,Berlin
9.15,1821,Berlin
10.05,1822,Berlin
8.26,1823,Berlin
9.61,1824,Berlin
9.32,1825,Berlin
9.35,1826,Berlin
8.99,1827,Berlin
8.94,1828,Berlin
6.52,1829,Berlin
8.08,1830,Berlin
8.93,1831,Berlin
8.34,1832,Berlin
8.89,1833,Berlin
10.40,1834,Berlin
8.81,1835,Berlin
8.88,1836,Berlin
8.12,1837,Berlin
6.98,1838,Berlin
8.63,1839,Berlin
7.74,1840,Berlin
9.06,1841,Berlin
8.51,1842,Berlin
9.18,1843,Berlin
7.85,1844,Berlin
7.92,1845,Berlin
9.84,1846,Berlin
8.24,1847,Berlin
8.75,1848,Berlin
8.03,1849,Berlin
8.20,1850,Berlin
8.50,1851,Berlin
9.54,1852,Berlin
7.55,1853,Berlin
8.69,1854,Berlin
7.07,1855,Berlin
8.50,1856,Berlin
9.39,1857,Berlin
7.97,1858,Berlin
9.60,1859,Berlin
8.00,1860,Berlin
8.87,1861,Berlin
8.91,1862,Berlin
9.81,1863,Berlin
6.99,1864,Berlin
8.88,1865,Berlin
9.44,1866,Berlin
8.41,1867,Berlin
10.24,1868,Berlin
9.06,1869,Berlin
7.57,1870,Berlin
7.08,1871,Berlin
9.97,1872,Berlin
9.27,1873,Berlin
9.08,1874,Berlin
8.04,1875,Berlin
8.64,1876,Berlin
8.95,1877,Berlin
9.38,1878,Berlin
7.46,1879,Berlin
9.08,1880,Berlin
7.75,1881,Berlin
9.28,1882,Berlin
8.54,1883,Berlin
9.20,1884,Berlin
8.47,1885,Berlin
8.55,1886,Berlin
7.93,1887,Berlin
7.61,1888,Berlin
8.34,1889,Berlin
8.35,1890,Berlin
8.48,1891,Berlin
8.28,1892,Berlin
8.50,1893,Berlin
8.96,1894,Berlin
8.28,1895,Berlin
8.57,1896,Berlin
8.69,1897,Berlin
9.42,1898,Berlin
8.96,1899,Berlin
9.16,1900,Berlin
8.58,1901,Berlin
7.63,1902,Berlin
9.28,1903,Berlin
9.15,1904,Berlin
8.90,1905,Berlin
9.31,1906,Berlin
8.52,1907,Berlin
8.35,1908,Berlin
8.16,1909,Berlin
9.33,1910,Berlin
9.89,1911,Berlin
8.49,1912,Berlin
9.41,1913,Berlin
9.50,1914,Berlin
8.56,1915,Berlin
9.30,1916,Berlin
8.39,1917,Berlin
9.42,1918,Berlin
8.00,1919,Berlin
9.37,1920,Berlin
9.78,1921,Berlin
7.76,1922,Berlin
8.58,1923,Berlin
8.30,1924,Berlin
9.32,1925,Berlin
9.57,1926,Berlin
8.72,1927,Berlin
8.92,1928,Berlin
7.99,1929,Berlin
9.48,1930,Berlin
8.35,1931,Berlin
9.23,1932,Berlin
8.32,1933,Berlin
10.69,1934,Berlin
9.34,1935,Berlin
9.30,1936,Berlin
9.41,1937,Berlin
9.77,1938,Berlin
9.32,1939,Berlin
7.04,1940,Berlin
7.62,1941,Berlin
7.80,1942,Berlin
9.67,1943,Berlin
9.31,1944,Berlin
9.64,1945,Berlin
9.12,1946,Berlin
8.79,1947,Berlin
9.96,1948,Berlin
10.04,1949,Berlin
9.37,1950,Berlin
9.72,1951,Berlin
8.61,1952,Berlin
10.13,1953,Berlin
8.41,1954,Berlin
8.36,1955,Berlin
7.57,1956,Berlin
9.46,1957,Berlin
9.05,1958,Berlin
9.88,1959,Berlin
9.22,1960,Berlin
9.81,1961,Berlin
8.13,1962,Berlin
8.12,1963,Berlin
8.84,1964,Berlin
8.33,1965,Berlin
9.34,1966,Berlin
10.08,1967,Berlin
9.28,1968,Berlin
8.43,1969,Berlin
8.43,1970,Berlin
9.54,1971,Berlin
8.88,1972,Berlin
9.24,1973,Berlin
9.89,1974,Berlin
10.08,1975,Berlin
9.15,1976,Berlin
9.54,1977,Berlin
8.86,1978,Berlin
8.53,1979,Berlin
8.26,1980,Berlin
9.18,1981,Berlin
10.08,1982,Berlin
10.21,1983,Berlin
8.94,1984,Berlin
8.46,1985,Berlin
8.78,1986,Berlin
8.09,1987,Berlin
10.02,1988,Berlin
10.72,1989,Berlin
10.71,1990,Berlin
9.36,1991,Berlin
10.38,1992,Berlin
9.34,1993,Berlin
10.43,1994,Berlin
9.75,1995,Berlin
7.88,1996,Berlin
9.73,1997,Berlin
10.05,1998,Berlin
10.58,1999,Berlin
10.96,2000,Berlin
9.69,2001,Berlin
10.26,2002,Berlin
10.07,2003,Berlin
9.82,2004,Berlin
9.92,2005,Berlin
10.55,2006,Berlin
10.88,2007,Berlin
10.66,2008,Berlin
10.06,2009,Berlin
8.61,2010,Berlin
10.56,2011,Berlin
9.96,2012,Berlin
10.12,2013,Berlin
