country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,0.0572,0.0682,0.0636,0.0663,0.0677,0.073,0.0698,0.0758,0.0758
Albania,0.0256,0.0404,0.0481,0.0534,0.0583,0.0635,0.0604,0.0628,0.0616,0.0688,0.0684,0.0673,0.0688,0.0675,0.0688,0.0655
Algeria,0.0417,0.0379,0.0406,0.0406,0.0387,0.0349,0.0384,0.0387,0.0374,0.0338,0.0306,0.0313,0.0353,0.0373,0.0458,0.0417
Andorra,0.0764,0.0803,0.0803,0.0985,0.0735,0.0758,0.0679,0.0704,0.0712,0.0711,0.0722,0.0744,0.0755,0.0754,0.0752,0.0752
Angola,0.0379,0.0217,0.0226,0.0185,0.0194,0.0241,0.0345,0.0236,0.0264,0.0209,0.0196,0.0242,0.0252,0.0319,0.0495,0.0285
Antigua and Barbuda,0.0488,0.0461,0.0464,0.0464,0.0468,0.0477,0.0461,0.0462,0.0471,0.0467,0.0466,0.0452,0.0445,0.043,0.0481,0.0603
Argentina,0.0831,0.0803,0.0836,0.0854,0.0935,0.0921,0.0941,0.0832,0.0831,0.0832,0.0845,0.0845,0.0844,0.0844,0.0953,0.081
Armenia,0.0645,0.0581,0.0579,0.0578,0.057,0.0627,0.0595,0.0541,0.0556,0.0549,0.0486,0.0418,0.0388,0.0377,0.0459,0.044
Australia,0.0722,0.0741,0.0746,0.0763,0.0776,0.0803,0.0812,0.0836,0.0828,0.0854,0.0843,0.0846,0.0848,0.0873,0.0873,0.0873
Austria,0.0952,0.0946,0.0978,0.0993,0.101,0.099,0.1,0.1,0.102,0.103,0.103,0.102,0.102,0.104,0.11,0.11
Azerbaijan,0.0586,0.062,0.0549,0.0549,0.054,0.0468,0.0448,0.0447,0.0655,0.079,0.078,0.0609,0.05,0.0428,0.0579,0.0588
Bahamas,0.0685,0.0692,0.0647,0.0628,0.0606,0.0591,0.0588,0.0611,0.0651,0.07,0.0704,0.0803,0.0814,0.0838,0.0832,0.0789
Bahrain,0.0458,0.0455,0.0465,0.0471,0.0467,0.0395,0.0426,0.0439,0.0425,0.0395,0.0371,0.0354,0.0363,0.0422,0.0467,0.0497
Bangladesh,0.0353,0.0346,0.0275,0.0273,0.0276,0.0281,0.0298,0.0309,0.0304,0.0312,0.0321,0.034,0.0346,0.0333,0.0341,0.0352
Barbados,0.0634,0.0616,0.0594,0.0593,0.0612,0.0629,0.0667,0.0728,0.0696,0.0699,0.0696,0.0712,0.0697,0.0711,0.059,0.0797
Belarus,0.0674,0.0624,0.0659,0.0596,0.0616,0.0613,0.0663,0.0647,0.0659,0.0659,0.0689,0.0634,0.0644,0.0595,0.0608,0.0561
Belgium,0.0761,0.0791,0.0776,0.0789,0.0808,0.0812,0.0829,0.0846,0.1,0.101,0.1,0.0959,0.0964,0.1,0.108,0.107
Belize,0.0423,0.0362,0.039,0.0378,0.0365,0.0396,0.0449,0.0436,0.0452,0.0438,0.0443,0.0439,0.0479,0.0482,0.0546,0.052
Benin,0.0469,0.0459,0.0431,0.0439,0.0459,0.0434,0.0469,0.0427,0.0463,0.0456,0.0473,0.0475,0.046,0.042,0.043,0.041
Bhutan,0.0341,0.0474,0.0544,0.0566,0.0707,0.069,0.0647,0.0835,0.0515,0.0441,0.0466,0.052,0.0501,0.0525,0.0512,0.052
Bolivia,0.0447,0.0463,0.0442,0.051,0.062,0.0608,0.0631,0.0653,0.0557,0.0534,0.0558,0.048,0.047,0.0492,0.051,0.0484
Bosnia and Herzegovina,0.106,0.113,0.079,0.0779,0.0873,0.0703,0.0716,0.07,0.0794,0.0907,0.0911,0.0934,0.0976,0.103,0.109,0.111
